Service Approval Number,Service Name,Provider ID,Provider Name,Provider Management Type,Managing Jurisdiction,Service Type,Approval Date,Address Line 1,Address Line 2,Suburb/Town,Postcode,Address State,Service email,Service phone number,Provider Address,Provider Suburb,Overall Rating
SE-00005255,Stepping Stones St Lukes OSHC,PR-00005963,Duerinckx Enterprises Pty Ltd ATF Duerinckx Futures Family Trust,Private for profit,VIC,Centre-Based Care,2012/1/1,Goulburn Valley Highway,,SHEPPARTON,3630,VIC,linda@sharingthecare.com.au,364253499,PO Box 70,ULVERSTONE,Meeting NQS
SE-00005256,Huntly Primary School OSHC,PR-00002717,Huntly Primary School,State/Territory government schools,VIC,Centre-Based Care,2012/1/1,101 Brunel St,,HUNTLY,3551,VIC,vanriet.selena.a@edumail.vic.gov.au,354488866,101 Brunel St,HUNTLY,Working Towards NQS
SE-00005258,Camp Hill Primary School Out of Hours School Care,PR-00002718,Camp Hill Primary School - School Council,State/Territory government schools,VIC,Centre-Based Care,2012/1/1,50 Gaol Rd,,BENDIGO,3550,VIC,camp.hill.ps@edumail.vic.gov.au,03 5443 33670,Gaol Rd,BENDIGO,Meeting NQS
SE-00005260,Camp Australia - Black Hill Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,601 Chisholm Street,,BALLARAT,3350,VIC,opsadmin@campaustralia.com.au,423795198,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005261,Camp Australia - Mulgrave Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,23-31 Gladeswood Drive,,MULGRAVE,3170,VIC,opsadmin@campaustralia.com.au,404397389,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005262,Seaholme Primary School Out of School Hours Care,PR-00002720,Seaholme Primary School,State/Territory government schools,VIC,Centre-Based Care,2012/1/1,Cnr Millers Rd & Civic Pde,,ALTONA,3018,VIC,seaholme.ps@edumail.vic.gov.au,03 9398 2806,PO Box 171,ALTONA,Working Towards NQS
SE-00005263,Murchison Primary After Care,PR-00002719,Murchison Primary School,State/Territory government schools,VIC,Centre-Based Care,2012/1/1,Impey Street,,MURCHISON,3610,VIC,murchison.ps@edumail.vic.gov.au,03 5826 2391,Impey Street,MURCHISON,Meeting NQS
SE-00005264,Academy For Kids Glen Waverley,PR-00002721,Vivien Mahomet,Private for profit,VIC,Centre-Based Care,2012/1/1,33 Ashton Street,,GLEN WAVERLEY,3150,VIC,vivien@academyforkids.co,405323357,PO Box 383,ASCOT VALE,Working Towards NQS
SE-00005265,Complete Kids Early Learning Centre,PR-00002469,Just Kids (Aust) Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,75 Phillip Drive,,SUNBURY,3429,VIC,completekids@bigpond.com,03 9740 2111,PO Box 947,SUNBURY,Meeting NQS
SE-00005267,Macleod College OSHC,PR-00002722,Macleod College OSHC,State/Territory government schools,VIC,Centre-Based Care,2012/1/1,May Street,,MACLEOD,3085,VIC,ohsc.macleod.co@edumail.vic.gov.au,03 9457 0234,May Street,MACLEOD,Meeting NQS
SE-00005268,Melrose PS TheirCare,PR-40011145,TheirCare Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,25 Silva Drive,,WODONGA,3690,VIC,melrose@theircare.com.au,447010424,Level 8 1341,CHADSTONE,Meeting NQS
SE-00005269,Lowther Hall OSHClub,PR-40004402,OSHCLUB PTY LTD,Private for profit,VIC,Centre-Based Care,2012/1/1,17 Leslie Road,,ESSENDON,3040,VIC,jagvicsa@junioradventuresgroup.com.au,393255399,"Suite 2, Level 1",CAMBERWELL,Working Towards NQS
SE-00005270,Epping Views Primary School OSHC,PR-00002724,Epping Views Primary School Council,State/Territory government schools,VIC,Centre-Based Care,2012/1/1,20 Mansfield Street,,EPPING,3076,VIC,smith.lynette.l@edumail.vic.gov.au,03 8401 3791,20 Mansfield Street,EPPING,Working Towards NQS
SE-00005271,TeamKids - Port Melbourne Primary,PR-40002234,Team Holiday Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,415 Graham Street,,PORT MELBOURNE,3207,VIC,info@teamkids.com.au,1300035000,1b 273/275 Wickham Road,MOORABBIN,Meeting NQS
SE-00005273,TeamKids - Lloyd Street Primary,PR-40002234,Team Holiday Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,Lloyd Street,,MALVERN EAST,3145,VIC,info@teamkids.com.au,1300035000,1b 273/275 Wickham Road,MOORABBIN,Meeting NQS
SE-00005274,Malvern Central School TheirCare,PR-40011145,TheirCare Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,Park Street,,MALVERN,3144,VIC,mcs@theircare.com.au,1300105343,Level 8 1341,CHADSTONE,Meeting NQS
SE-00005275,Camp Australia – Kingswood Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Plaza Crescent,,DINGLEY VILLAGE,3172,VIC,opsadmin@campaustralia.com.au,423793674,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005276,Camp Australia - Black Rock Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Arkaringa Crescent,,BLACK ROCK,3193,VIC,opsadmin@campaustralia.com.au,452216063,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005277,Bellbridge OSHClub,PR-40004402,OSHCLUB PTY LTD,Private for profit,VIC,Centre-Based Care,2012/1/1,120 Bellbridge Drive,,HOPPERS CROSSING,3029,VIC,jagvicsa@junioradventuresgroup.com.au,429114796,"Suite 2, Level 1",CAMBERWELL,Meeting NQS
SE-00005279,Camp Australia - Haileybury Edrington OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,138 High Street,,BERWICK,3806,VIC,opsadmin@campaustralia.com.au,423793666,1731 Malvern Rd,GLEN IRIS,Exceeding NQS
SE-00005280,Camp Australia - Haileybury Newlands OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,855-891 Springvale Road,,KEYSBOROUGH,3173,VIC,opsadmin@campaustralia.com.au,423793673,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005281,Camp Australia - Mentone Grammar OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,71-73 Naples Road,,MENTONE,3194,VIC,opsadmin@campaustralia.com.au,412153177,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005282,Camp Australia - St Margarets Berwick OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,27-47 Gloucester Avenue,,BERWICK,3806,VIC,opsadmin@campaustralia.com.au,423793676,1731 Malvern Rd,GLEN IRIS,Exceeding NQS
SE-00005284,Kids on Campus Family Day Care,PR-00001924,Wodonga Institute of TAFE,Private not for profit other organisations,VIC,Family Day Care,2012/1/1,87 McKoy Street,,WODONGA,3690,VIC,djohan@wodongatafe.edu.au,260556653,15 McKoy Street,WODONGA,Meeting NQS
SE-00005285,After The Bell Aus-Melbourne Girls Grammar School Junior Campus OSHC,PR-40005656,After the Bell Aus Pty Ltd ATF After The Bell Unit Trust,Private for profit,VIC,Centre-Based Care,2012/1/1,100 Caroline Street,,SOUTH YARRA,3141,VIC,veronique@afterthebell.com.au,397586744,PO Box 7082,UPPER FERNTREE GULLY,Meeting NQS
SE-00005286,Camp Australia - Albert Park Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Bridport Street,,ALBERT PARK,3206,VIC,opsadmin@campaustralia.com.au,452247708,1731 Malvern Rd,GLEN IRIS,Working Towards NQS
SE-00005288,Camp Australia - Toorak College OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Williams Road,,MOUNT ELIZA,3930,VIC,opsadmin@campaustralia.com.au,397887352,1731 Malvern Rd,GLEN IRIS,Exceeding NQS
SE-00005291,Camp Australia - Geelong Grammar School Toorak Campus OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,14 Douglas Street,,TOORAK,3142,VIC,opsadmin@campaustralia.com.au,402047543,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005292,Camp Australia - Narre Warren North Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,A'Beckett Road,,NARRE WARREN NORTH,3804,VIC,opsadmin@campaustralia.com.au,1300105343,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005293,Camp Australia - Brentwood Park Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Bemersyde Drive,,BERWICK,3806,VIC,opsadmin@campaustralia.com.au,421640326,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005295,Camp Australia - St Kevin's Hampton Park OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,120 Hallam Road,,HAMPTON PARK,3976,VIC,opsadmin@campaustralia.com.au,429137414,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005296,Camp Australia - St Mark's Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,4-6 Dimar Street,,DINGLEY VILLAGE,3172,VIC,opsadmin@campaustralia.com.au,423793677,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005297,Maramba PS TheirCare,PR-40011145,TheirCare Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,Maramba Drive,,NARRE WARREN,3805,VIC,maramba@theircare.com.au,477006282,Level 8 1341,CHADSTONE,Meeting NQS
SE-00005298,Galilee Regional CPS TheirCare,PR-40011145,TheirCare Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,Cnr Montague St & Bank St,,SOUTH MELBOURNE,3205,VIC,galilee@theircare.com.au,1300105343,Level 8 1341,CHADSTONE,Meeting NQS
SE-00005299,Greater Dandenong Family Day Care Scheme,PR-00001550,Greater Dandenong City Council,State/Territory and Local Government managed,VIC,Family Day Care,2012/1/1,39 Clow Street,,DANDENONG,3175,VIC,lani.johaan@cgd.vic.gov.au,385711805,PO Box 200,DANDENONG,Meeting NQS
SE-00005300,Camp Australia - Loreto College Mandeville Hall OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,10 Mandeville Crescent,,TOORAK,3142,VIC,opsadmin@campaustralia.com.au,402273596,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005302,Camp Australia - Beaumaris Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,77-79 Dalgetty Road,,BEAUMARIS,3193,VIC,opsadmin@campaustralia.com.au,452247837,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005303,Malvern Valley Primary School OSHC,PR-00002729,Malvern Valley Primary School,State/Territory government schools,VIC,Centre-Based Care,2012/1/1,1A Abbotsford Ave,,MALVERN EAST,3145,VIC,prendergast.kerry.r@edumail.vic.gov.au,0434 637 943,1A Abbotsford Ave,MALVERN EAST,Working Towards NQS
SE-00005304,City Of Greater Geelong Family Day Care Service,PR-00001551,Greater Geelong City Council,State/Territory and Local Government managed,VIC,Family Day Care,2012/1/1,245-249 Pakington Street,,NEWTOWN,3220,VIC,cthompson@geelongcity.vic.gov.au,352724741,PO Box 104,GEELONG,Exceeding NQS
SE-00005305,TeamKids - Caulfield South Primary,PR-40002234,Team Holiday Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,Bundeera Road,,CAULFIELD,3162,VIC,info@teamkids.com.au,1300035000,1b 273/275 Wickham Road,MOORABBIN,Meeting NQS
SE-00005306,Camp Australia - Red Hill Consolidated School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Mornington-Flinders Road,,RED HILL,3937,VIC,opsadmin@campaustralia.com.au,426639180,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005307,Camp Australia - Dromana Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,McCulloch Street,,DROMANA,3936,VIC,opsadmin@campaustralia.com.au,426659036,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005308,Camp Australia - Kunyung Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Kunyung Road,,MOUNT ELIZA,3930,VIC,opsadmin@campaustralia.com.au,424594539,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005310,Camp Australia - Gardenvale Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,66 Landcox Street,,BRIGHTON EAST,3187,VIC,Opsadmin@campaustralia.com.au,452247820,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005311,Camp Australia - Woodleigh School Penbank Campus OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Mornington-Tyabb Road,,MOOROODUC,3933,VIC,opsadmin@campaustralia.com.au,401006063,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005312,Camp Australia - Balnarring Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,1 Civic Street,,BALNARRING,3926,VIC,opsadmin@campaustralia.com.au,402353882,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005313,Camp Australia - Aspendale Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,23 Laura Street,,ASPENDALE,3195,VIC,opsadmin@campaustralia.com.au,423732319,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005315,Camp Australia - Pearcedale Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Baxter-Tooradin Road,,PEARCEDALE,3912,VIC,opsadmin@campaustralia.com.au,402354873,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005316,Colac Otway Shire Family Day Care Scheme,PR-00001436,Colac Otway Shire,State/Territory and Local Government managed,VIC,Family Day Care,2012/1/1,2-6 Rae Street,,COLAC,3250,VIC,familydaycare@colacotway.vic.gov.au,352329400,PO Box 283,COLAC,Meeting NQS
SE-00005319,Westmeadows PS TheirCare,PR-40011145,TheirCare Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,Riddell Street,,WESTMEADOWS,3049,VIC,westmeadows@theircare.com.au,447545772,Level 8 1341,CHADSTONE,Meeting NQS
SE-00005320,Pyalong Primary School Before & After School Care,PR-00002732,Pyalong Primary School,State/Territory government schools,VIC,Centre-Based Care,2012/1/1,Pyalong Primary School,10-14 Bourke St,PYALONG,3521,VIC,pyalong.ps@edumail.vic.gov.au,03 5785 1291,10-14 Bourke St,PYALONG,Meeting NQS
SE-00005321,Camp Australia - Mordialloc Beach Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,58 Barkly Street,,MORDIALLOC,3195,VIC,opsadmin@campaustralia.com.au,423008961,1731 Malvern Rd,GLEN IRIS,Exceeding NQS
SE-00005322,Camp Australia - Berwick Fields Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,35 Gwendoline Drive,,BERWICK,3806,VIC,opsadmin@campaustralia.com.au,452247874,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005324,Concord Watsonia School TheirCare,PR-40011145,TheirCare Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,Concord Junior Campus,Meagher Street,WATSONIA,3087,VIC,watsoniaconcord@theircare.com.au,1300072410,Level 8 1341,CHADSTONE,Meeting NQS
SE-00005325,Big Childcare - Overnewton ACC Keilor OSHC,PR-40004334,Big Childcare Pty Ltd ATF Big Childcare Unit Trust,Private for profit,VIC,Centre-Based Care,2012/1/1,2-30 Overnewton Road,,KEILOR,3036,VIC,oacckeilor@bigchildcare.com,386829400,PO Box 343,NIDDRIE,Meeting NQS
SE-00005326,Camp Australia - St James the Apostle Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Derrimut Road,,HOPPERS CROSSING,3029,VIC,opsadmin@campaustralia.com.au,447139601,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005328,Camp Australia - Reservoir Views Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,110 St Vigeons Road,,RESERVOIR,3073,VIC,opsadmin@campaustralia.com.au,429472162,1731 Malvern Rd,GLEN IRIS,Working Towards NQS
SE-00005329,School Support Services - Herne Hill OSHC Program,PR-40009285,C.L SAVAGE & J.L TIDD,Private for profit,VIC,Centre-Based Care,2012/1/1,194-200 Church Street,,GEELONG NORTH,3215,VIC,carol@schoolsupportservices.com.au,412662783,L 6,SOUTH YARRA,Meeting NQS
SE-00005330,Thornbury Primary School Combined OSHC,PR-00002739,Thornbury Primary School Council,State/Territory government schools,VIC,Centre-Based Care,2012/1/1,Hutton St,,THORNBURY,3071,VIC,eyan.andrew.j@edumail.vic.gov.au,94843254,Hutton St,THORNBURY,Meeting NQS
SE-00005332,Red Cliffs Primary School Council Out of School Hours Care,PR-00002741,Red Cliffs Primary School Council,State/Territory government schools,VIC,Centre-Based Care,2012/1/1,Murray Avenue,,RED CLIFFS,3496,VIC,red.cliffs.ps@edumail.vic.gov.au,03 5024 1044,PO Box 306,RED CLIFFS,Working Towards NQS
SE-00005334,OSHClub Spotswood Primary School,PR-40004402,OSHCLUB PTY LTD,Private for profit,VIC,Centre-Based Care,2012/1/1,600 Melbourne Road,,SPOTSWOOD,3015,VIC,jagvicsa@junioradventuresgroup.com.au,423728739,"Suite 2, Level 1",CAMBERWELL,Exceeding NQS
SE-00005337,St Kilda PS TheirCare,PR-40011145,TheirCare Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,Brighton Road,,ST KILDA,3182,VIC,soniaz@theircare.com.au,405614862,Level 8 1341,CHADSTONE,Meeting NQS
SE-00005338,TeamKids - Berwick Chase Primary,PR-40002234,Team Holiday Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,51 Bridgewater Boulevard,,BERWICK,3806,VIC,info@teamkids.com.au,1300035000,1b 273/275 Wickham Road,MOORABBIN,Meeting NQS
SE-00005339,Camp Australia - Chelsea Heights Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Thames Promenade,,CHELSEA HEIGHTS,3196,VIC,opsadmin@campaustralia.com.au,424436073,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005340,Camp Australia - Coral Park Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,145 Coral Park Drive,,HAMPTON PARK,3976,VIC,opsadmin@campaustralia.com.au,415335241,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005341,Camp Australia - Cheltenham East Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Silver Street,,CHELTENHAM,3192,VIC,opsadmin@campaustralia.com.au,452247705,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005342,Camp Australia - Bentleigh West Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,23 Brewer Road,,BENTLEIGH,3204,VIC,opsadmin@campaustralia.com.au,423793663,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005343,Warrandyte CommunityOSH,PR-40011323,COMMUNITYOSH PTY LTD,Private for profit,VIC,Centre-Based Care,2012/1/1,Forbes Street,,WARRANDYTE,3113,VIC,jock.j@commosh.net.au,399773000,PO Box 265,RICHMOND,Exceeding NQS
SE-00005344,Westgarth Primary School Combined OSHC,PR-00002745,Westgarth Primary School Council,State/Territory government schools,VIC,Centre-Based Care,2012/1/1,Brooke Street and Clarke Street,,NORTHCOTE,3070,VIC,asc.westgarth.ps@edumail.vic.gov.au,394823323,PO Box 59,NORTHCOTE,Working Towards NQS
SE-00005345,St Vincent de Paul TheirCare,PR-40011145,TheirCare Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,Woodland Street,,STRATHMORE,3041,VIC,stvincentdepaul@theircare.com.au,1300072410,Level 8 1341,CHADSTONE,Meeting NQS
SE-00005346,Ivanhoe East OSHClub,PR-40004402,OSHCLUB PTY LTD,Private for profit,VIC,Centre-Based Care,2012/1/1,Warncliffe Road,,IVANHOE EAST,3079,VIC,jagvicsa@junioradventuresgroup.com.au,408724893,"Suite 2, Level 1",CAMBERWELL,Meeting NQS
SE-00005348,Andersons Creek Road Early Learning & Kinder,PR-40002206,Baker Street Childcare Education Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,160 Anderson Creek Road,,DONCASTER EAST,3109,VIC,deewr@thinkchildcare.com.au,386581064,PO Box 465,DRUMMOYNE,Meeting NQS
SE-00005350,Maiden Gully Primary School OSH Care,PR-00002748,Maiden Gully Primary School,State/Territory government schools,VIC,Centre-Based Care,2012/1/1,10 Carolyn Way,,MAIDEN GULLY,3551,VIC,maiden.gully.ps@edumail.vic.gov.au,354496429,Carolyn Way,MAIDEN GULLY,Working Towards NQS
SE-00005351,Greensborough OSHClub,PR-40004402,OSHCLUB PTY LTD,Private for profit,VIC,Centre-Based Care,2012/1/1,130 Grimshaw Street,,GREENSBOROUGH,3088,VIC,jagvicsa@junioradventuresgroup.com.au,447868204,"Suite 2, Level 1",CAMBERWELL,Exceeding NQS
SE-00005352,Koala Early Learning - Mt Waverley,PR-40011565,Story House Early Learning No 15 Pty Ltd,Private for profit,VIC,Centre-Based Care,2012/1/1,11 Marianne Way,,MOUNT WAVERLEY,3149,VIC,mtwaverley@shel.edu.au,398025053,57 Old Cleveland Rd,STONES CORNER,Meeting NQS
SE-00005354,Camp Australia - Great Ryrie Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Great Ryrie Street,,HEATHMONT EAST,3135,VIC,opsadmin@campaustralia.com.au,426707254,1731 Malvern Rd,GLEN IRIS,Meeting NQS
SE-00005355,Camp Australia - Streeton Primary School OSHC,PR-00002539,Camp Australia Pty Limited,Private for profit,VIC,Centre-Based Care,2012/1/1,Yallambie Road,,YALLAMBIE,3085,VIC,opsadmin@campaustralia.com.au,406926892,1731 Malvern Rd,GLEN IRIS,Exceeding NQS
SE-00005356,Kurunjang OSHClub,PR-40004402,OSHCLUB PTY LTD,Private for profit,VIC,Centre-Based Care,2012/1/1,35 Mowbray Crescent,,KURUNJANG,3337,VIC,jagvicsa@junioradventuresgroup.com.au,400028149,"Suite 2, Level 1",CAMBERWELL,Meeting NQS
SE-00005357,Kelly Club OSHC St Joseph's School,PR-40002637,KELLY CLUB AUSTRALIA PTY LTD ATF KELLY CLUB AUSTRALIA UNIT TRUST,Private for profit,VIC,Centre-Based Care,2012/1/1,571 Glenferrie Road,,HAWTHORN,3122,VIC,stjosephs@kellycluboshc.com.au,03 8862 4024,PO Box 71,MOONEE VALE,Meeting NQS
