Service_Name,Type,Postcode,Suburb,email,phone,rating,address,location
Camp Australia - Sacred Heart Oakleigh OSHC,Private for profit,3167,OAKLEIGH SOUTH,Opsadmin@campaustralia.com.au,401188896,Meeting NQS,2-4 Mora Avenue OAKLEIGH SOUTH 3167 VIC,"(-37.902154, 145.088207)"
Good Shepherd Lutheran OSHClub,Private for profit,3136,CROYDON HILLS,jagvicsa@junioradventuresgroup.com.au,423777355,Meeting NQS,53-57 Plymouth Road CROYDON HILLS 3136 VIC,"(-37.7823591, 145.2682172)"
Kelly Club OSHC Aitken College,Private for profit,3059,GREENVALE,aitken@kellycluboshc.com.au,393842204,Meeting NQS,1010 Mickleham Road GREENVALE 3059 VIC,"(-37.6278795, 144.8899703)"
Carey OSHClub Kew,Private for profit,3101,KEW,jagvicsa@junioradventuresgroup.com.au,423777331,Exceeding NQS,Barkers Road KEW 3101 VIC,"(-37.81476749999999, 145.0375023)"
Camp Australia - Brandon Park Primary School OSHC,Private for profit,3150,WHEELERS HILL,opsadmin@campaustralia.com.au,423794783,Meeting NQS,Cootamundra Drive WHEELERS HILL 3150 VIC,"(-37.9091259, 145.1718183)"
Camp Australia - Clayton North Primary School OSHC,Private for profit,3168,CLAYTON NORTH,opsadmin@campaustralia.com.au,424465192,Meeting NQS,1714 Dandenong Road CLAYTON NORTH 3168 VIC,"(-37.9125042, 145.1227544)"
Watsonia North Primary School Out of School Hours Program,State/Territory government schools,3087,WATSONIA,cc@wats-north.vic.edu.au,394323213,Exceeding NQS,16 Sharpes Road WATSONIA 3087 VIC,"(-37.7004386, 145.0811434)"
Big Childcare - Manor Lakes P-12 College OSHC,Private for profit,3024,WYNDHAM VALE,manorlakes@bigchildcare.com,386829400,Meeting NQS,2 - 50 Minindee Road WYNDHAM VALE 3024 VIC,"(-37.8768302, 144.6024821)"
Camp Australia - Glendal Primary School OSHC,Private for profit,3150,GLEN WAVERLEY,opsadmin@campaustralia.com.au,423794695,Meeting NQS,55 Nottingham Street GLEN WAVERLEY 3150 VIC,"(-37.8667649, 145.1585055)"
Camp Australia - Ivanhoe Grammar OSHC,Private for profit,3079,IVANHOE,opsadmin@campaustralia.com.au,401053531,Meeting NQS,The Ridgeway IVANHOE 3079 VIC,"(-37.773451, 145.0439458)"
Camp Australia - Woodville Primary School OSHC,Private for profit,3029,HOPPERS CROSSING,opsadmin@campaustralia.com.au,406935359,Meeting NQS,33 - 57 Warringa Crescent HOPPERS CROSSING 3029 VIC,"(-37.883679, 144.691366)"
Camp Australia - St Dominics Primary School OSHC,Private for profit,3124,CAMBERWELL EAST,opsadmin@campaustralia.com.au,428522449,Meeting NQS,145 Highfield Road CAMBERWELL EAST 3124 VIC,"(-37.838826, 145.083192)"
Camp Australia - The Knox School OSHC,Private for profit,3152,WANTIRNA SOUTH,opsadmin@campaustralia.com.au,412801010,Meeting NQS,220 Burwood Highway WANTIRNA SOUTH 3152 VIC,"(-37.8656263, 145.2193613)"
After The Bell Aus- Ruyton Girls School,Private for profit,3101,KEW,admin@afterthebell.com.au,397586744,Meeting NQS,12 Selbourne Road KEW 3101 VIC,"(-37.8111656, 145.0397377)"
TeamKids - Camberwell Primary,Private for profit,3124,CAMBERWELL,info@teamkids.com.au,1300035000,Exceeding NQS,Camberwell Road CAMBERWELL 3124 VIC,"(-37.8374491, 145.0637903)"
Camp Australia - Genazzano Girls School OSHC,Private for profit,3101,KEW,opsadmin@campaustralia.com.au,413944342,Meeting NQS,301 Cotham Road KEW 3101 VIC,"(-37.8087014, 145.0558839)"
Mildura West Primary OSHC,State/Territory government schools,3500,MILDURA,oshc@mildurawestps.vic.edu.au,350231336,Working Towards NQS,Ninth Street MILDURA 3500 VIC,"(-34.1843788, 142.1582251)"
Essendon Fields Kinder Haven,Private for profit,3040,ESSENDON,essendonfields@kinderhaven.com.au,03 9094 1777,Working Towards NQS,35 Bristol Street ESSENDON 3040 VIC,"(-37.727501, 144.8959778)"
Camp Australia - Mooroolbark East Primary School OSHC,Private for profit,3138,MOOROOLBARK,opsadmin@campaustralia.com.au,434616327,Meeting NQS,Taylor Road MOOROOLBARK 3138 VIC,"(-37.7860954, 145.3277428)"
Errol Street North Melbourne Primary Outside School Hours Care,State/Territory government schools,3051,NORTH MELBOURNE,ohsc@netspace.net.au,03 9329 5529,Exceeding NQS,210 Errol Street NORTH MELBOURNE 3051 VIC,"(-37.798519, 144.9513592)"
Camp Australia - Bendigo Violet Street Primary School OSHC,Private for profit,3550,BENDIGO,opsadmin@campaustralia.com.au,408592784,Working Towards NQS,Old Violet Street BENDIGO 3550 VIC,"(-36.7597609, 144.2669935)"
Stepping Stones - St Therese's OSHC,Private for profit,3550,KENNINGTON,linda@sharingthecare.com.au,364253499,Working Towards NQS,Albion Street KENNINGTON 3550 VIC,"(-36.7675414, 144.2973127)"
Camp Australia - Balwyn North Primary School OSHC,Private for profit,3104,BALWYN NORTH,opsadmin@campaustralia.com.au,402350478,Meeting NQS,Buchanan Avenue BALWYN NORTH 3104 VIC,"(-37.7982936, 145.0769811)"
Camp Australia - St Clement of Rome School OSHC,Private for profit,3105,BULLEEN,opsadmin@campaustralia.com.au,412001259,Meeting NQS,9 Egan Drive BULLEEN 3105 VIC,"(-37.7682712, 145.0901894)"
Teddy Bear FDC Scheme,Private for profit,3011,FOOTSCRAY,teddybearfdc@gmail.com,396878505,Meeting NQS,117 Paisley St FOOTSCRAY 3011 VIC,"(-37.800446, 144.8938605)"
Carey Donvale OSHClub,Private for profit,3111,DONVALE,jagvicsa@junioradventuresgroup.com.au,431532200,Meeting NQS,9 Era Court DONVALE 3111 VIC,"(-37.7722743, 145.1859678)"
Camp Australia - Belle Vue Primary School OSHC,Private for profit,3104,BALWYN NORTH,opsadmin@campaustralia.com.au,401006481,Meeting NQS,20 Highview Road BALWYN NORTH 3104 VIC,"(-37.7818117, 145.0791016)"
Camp Australia - Springside Primary School OSHC,Private for profit,3023,CAROLINE SPRINGS,opsadmin@campaustralia.com.au,434276349,Exceeding NQS,Becca Way CAROLINE SPRINGS 3023 VIC,"(-37.7115451, 144.7391158)"
Kialla Central Primary School,State/Territory government schools,3631,KIALLA,kialla.central.ps@edumail.vic.gov.au,03 5827 1373,Working Towards NQS,128 Central Kialla Road KIALLA 3631 VIC,"(-36.4524819, 145.4316041)"
Toolamba Outside School Hours Care,State/Territory government schools,3614,TOOLAMBA,toolamba.ps@edumail.vic.gov.au,03 5826 5212,Meeting NQS,Wren Street TOOLAMBA 3614 VIC,"(-36.4902464, 145.3384113)"
Kialla West Primary School OSHC,State/Territory government schools,3630,SHEPPARTON,teague.wesley.g@edumail.vic.gov.au,03 5823 1333,Meeting NQS,7370 Goulburn Valley Highway SHEPPARTON 3630 VIC,"(-36.4661149, 145.389244)"
Reservoir West Primary School Council,State/Territory government schools,3073,RESERVOIR,collins.valerie.e@edumail.vic.gov.au,394785238,Meeting NQS,5a Carrington Road RESERVOIR 3073 VIC,"(-37.7228185, 144.9904432)"
Bentleigh Child Care,Private for profit,3204,BENTLEIGH,reception@bentleighchildcare.com.au,395576700,Meeting NQS,20-24 Brewer Road BENTLEIGH 3204 VIC,"(-37.9210897, 145.0260418)"
Camp Australia - St Joachims Primary School OSHC,Private for profit,3201,CARRUM DOWNS,opsadmin@campaustralia.com.au,423793628,Meeting NQS,25 Broderick Road CARRUM DOWNS 3201 VIC,"(-38.1029895, 145.178494)"
Camp Australia - Cranbourne South Primary School OSHC,Private for profit,3977,CRANBOURNE SOUTH,opsadmin@campaustralia.com.au,422009078,Meeting NQS,Pearcedale Road CRANBOURNE SOUTH 3977 VIC,"(-38.15151790000001, 145.2448243)"
Oakbrook Kindergarten,Private not for profit community managed,3076,EPPING,oakbrook@try.org.au,394011695,Meeting NQS,36 Holroyd Drive EPPING 3076 VIC,"(-37.6575524, 145.0332968)"
Camp Australia - St Kevins College Toorak OSHC,Private for profit,3142,TOORAK,opsadmin@campaustralia.com.au,412203191,Meeting NQS,75 Lansell Road TOORAK 3142 VIC,"(-37.8331918, 145.0200892)"
Camp Australia - Mount Eliza North Primary School OSHC,Private for profit,3930,MOUNT ELIZA,opsadmin@campaustralia.com.au,412204683,Meeting NQS,Moseley Drive MOUNT ELIZA 3930 VIC,"(-38.18938199999999, 145.1011207)"
Camp Australia - Ascot Vale Primary School OSHC,Private for profit,3032,ASCOT VALE,opsadmin@campaustralia.com.au,423795247,Meeting NQS,Bank Street ASCOT VALE 3032 VIC,"(-37.77413689999999, 144.9252473)"
Camp Australia - Werribee Primary School OSHC,Private for profit,3030,WERRIBEE,opsadmin@campaustralia.com.au,403039487,Meeting NQS,Deutgam Street WERRIBEE 3030 VIC,"(-37.9074281, 144.6581143)"
Camp Australia - Ballam Park Primary School OSHC,Private for profit,3199,FRANKSTON,opsadmin@campaustralia.com.au,402354584,Meeting NQS,47 Belar Avenue FRANKSTON 3199 VIC,"(-38.145465, 145.157944)"
Our Lady of the Assumption Cheltenham OSHClub,Private for profit,3192,CHELTENHAM,jagvicsa@junioradventuresgroup.com.au,478100455,Working Towards NQS,9 Centre Dandenong Road CHELTENHAM 3192 VIC,"(-37.9654903, 145.0594507)"
Camp Australia - Oatlands Primary School OSHC,Private for profit,3805,NARRE WARREN,opsadmin@campaustralia.com.au,452247965,Working Towards NQS,79-93 Kurrajong Road NARRE WARREN 3805 VIC,"(-38.0065818, 145.3153859)"
Camp Australia - Mount View Primary School OSHC,Private for profit,3150,GLEN WAVERLEY,opsadmin@campaustralia.com.au,402680015,Meeting NQS,Shepherd Rd GLEN WAVERLEY 3150 VIC,"(-37.88396960000001, 145.1840099)"
Greenhills OSHClub,Private for profit,3088,GREENSBOROUGH,jagvicsa@junioradventuresgroup.com.au,429176155,Exceeding NQS,8 Mine Street GREENSBOROUGH 3088 VIC,"(-37.6940164, 145.1183271)"
Camp Australia - Fintona Girls School OSHC,Private for profit,3103,BALWYN,opsadmin@campaustralia.com.au,401254394,Meeting NQS,82 Balwyn Road BALWYN 3103 VIC,"(-37.815187, 145.0811035)"
Camp Australia - Balcombe Grammar OSHC,Private for profit,3934,MOUNT MARTHA,opsadmin@campaustralia.com.au,401001064,Working Towards NQS,389 Nepean Highway MOUNT MARTHA 3934 VIC,"(-38.2758991, 145.0326005)"
Beveridge Primary School Combined OSHC,State/Territory government schools,3753,BEVERIDGE,beveridge.ps@edumail.vic.gov.au,03 9745 2264,Meeting NQS,120 Arrowsmith Street BEVERIDGE 3753 VIC,"(-37.4720925, 144.9815936)"
St Benedict's PS OSHC - Extend,Private for profit,3125,BURWOOD,enquiries@extend.com.au,1300366437,Meeting NQS,3-9 Central Ave BURWOOD 3125 VIC,"(-37.8494607, 145.0975346)"
Yarraman Oaks Primary School,State/Territory government schools,3174,NOBLE PARK,yarraman.park.ps@edumail.vic.gov.au,397924406,Working Towards NQS,27 Liege Avenue NOBLE PARK 3174 VIC,"(-37.970464, 145.191504)"
Stepping Stones Mooroopna OSHC,Private for profit,3629,MOOROOPNA,linda@sharingthecare.com.au,364253499,Working Towards NQS,O'Brien Street MOOROOPNA 3629 VIC,"(-36.3903494, 145.3590567)"
Fairfield Primary School OSHClub,Private for profit,3078,FAIRFIELD,jagvicsa@junioradventuresgroup.com.au,432680504,Meeting NQS,Langridge Street FAIRFIELD 3078 VIC,"(-37.7781746, 145.0234495)"
Camp Australia - St Thomas the Apostle Primary School OSHC,Private for profit,3130,BLACKBURN,opsadmin@campaustralia.com.au,402273977,Meeting NQS,67 Central Road BLACKBURN 3130 VIC,"(-37.8235759, 145.1578024)"
Stepping Stones St Lukes OSHC,Private for profit,3630,SHEPPARTON,linda@sharingthecare.com.au,364253499,Meeting NQS,Goulburn Valley Highway SHEPPARTON 3630 VIC,"(-36.37336490000001, 145.4009024)"
Huntly Primary School OSHC,State/Territory government schools,3551,HUNTLY,vanriet.selena.a@edumail.vic.gov.au,354488866,Working Towards NQS,101 Brunel St HUNTLY 3551 VIC,"(-36.662025, 144.3349733)"
Camp Hill Primary School Out of Hours School Care,State/Territory government schools,3550,BENDIGO,camp.hill.ps@edumail.vic.gov.au,03 5443 33670,Meeting NQS,50 Gaol Rd BENDIGO 3550 VIC,"(-36.7553735, 144.2779818)"
Camp Australia - Black Hill Primary School OSHC,Private for profit,3350,BALLARAT,opsadmin@campaustralia.com.au,423795198,Meeting NQS,601 Chisholm Street BALLARAT 3350 VIC,"(-37.5493452, 143.8693513)"
Camp Australia - Mulgrave Primary School OSHC,Private for profit,3170,MULGRAVE,opsadmin@campaustralia.com.au,404397389,Meeting NQS,23-31 Gladeswood Drive MULGRAVE 3170 VIC,"(-37.932974, 145.197317)"
Seaholme Primary School Out of School Hours Care,State/Territory government schools,3018,ALTONA,seaholme.ps@edumail.vic.gov.au,03 9398 2806,Working Towards NQS,Cnr Millers Rd & Civic Pde ALTONA 3018 VIC,"(None, None)"
Murchison Primary After Care,State/Territory government schools,3610,MURCHISON,murchison.ps@edumail.vic.gov.au,03 5826 2391,Meeting NQS,Impey Street MURCHISON 3610 VIC,"(-36.6177388, 145.2144805)"
Academy For Kids Glen Waverley,Private for profit,3150,GLEN WAVERLEY,vivien@academyforkids.co,405323357,Working Towards NQS,33 Ashton Street GLEN WAVERLEY 3150 VIC,"(-37.8660602, 145.1737398)"
Complete Kids Early Learning Centre,Private for profit,3429,SUNBURY,completekids@bigpond.com,03 9740 2111,Meeting NQS,75 Phillip Drive SUNBURY 3429 VIC,"(-37.5638269, 144.7030284)"
Macleod College OSHC,State/Territory government schools,3085,MACLEOD,ohsc.macleod.co@edumail.vic.gov.au,03 9457 0234,Meeting NQS,May Street MACLEOD 3085 VIC,"(-37.7259094, 145.0736148)"
Melrose PS TheirCare,Private for profit,3690,WODONGA,melrose@theircare.com.au,447010424,Meeting NQS,25 Silva Drive WODONGA 3690 VIC,"(-36.1307884, 146.8616538)"
Lowther Hall OSHClub,Private for profit,3040,ESSENDON,jagvicsa@junioradventuresgroup.com.au,393255399,Working Towards NQS,17 Leslie Road ESSENDON 3040 VIC,"(-37.7593432, 144.9149036)"
Epping Views Primary School OSHC,State/Territory government schools,3076,EPPING,smith.lynette.l@edumail.vic.gov.au,03 8401 3791,Working Towards NQS,20 Mansfield Street EPPING 3076 VIC,"(-37.6294665, 145.0253302)"
TeamKids - Port Melbourne Primary,Private for profit,3207,PORT MELBOURNE,info@teamkids.com.au,1300035000,Meeting NQS,415 Graham Street PORT MELBOURNE 3207 VIC,"(-37.8349353, 144.9337404)"
TeamKids - Lloyd Street Primary,Private for profit,3145,MALVERN EAST,info@teamkids.com.au,1300035000,Meeting NQS,Lloyd Street MALVERN EAST 3145 VIC,"(-37.8728294, 145.0558767)"
Malvern Central School TheirCare,Private for profit,3144,MALVERN,mcs@theircare.com.au,1300105343,Meeting NQS,Park Street MALVERN 3144 VIC,"(-37.856013, 145.0363156)"
Camp Australia �?Kingswood Primary School OSHC,Private for profit,3172,DINGLEY VILLAGE,opsadmin@campaustralia.com.au,423793674,Meeting NQS,Plaza Crescent DINGLEY VILLAGE 3172 VIC,"(-37.98359370000001, 145.1231346)"
Camp Australia - Black Rock Primary School OSHC,Private for profit,3193,BLACK ROCK,opsadmin@campaustralia.com.au,452216063,Meeting NQS,Arkaringa Crescent BLACK ROCK 3193 VIC,"(-37.9695663, 145.0169857)"
Bellbridge OSHClub,Private for profit,3029,HOPPERS CROSSING,jagvicsa@junioradventuresgroup.com.au,429114796,Meeting NQS,120 Bellbridge Drive HOPPERS CROSSING 3029 VIC,"(-37.870629, 144.7110974)"
Camp Australia - Haileybury Edrington OSHC,Private for profit,3806,BERWICK,opsadmin@campaustralia.com.au,423793666,Exceeding NQS,138 High Street BERWICK 3806 VIC,"(-38.0432476, 145.3638133)"
Camp Australia - Haileybury Newlands OSHC,Private for profit,3173,KEYSBOROUGH,opsadmin@campaustralia.com.au,423793673,Meeting NQS,855-891 Springvale Road KEYSBOROUGH 3173 VIC,"(-37.9952992, 145.1441531)"
Camp Australia - Mentone Grammar OSHC,Private for profit,3194,MENTONE,opsadmin@campaustralia.com.au,412153177,Meeting NQS,71-73 Naples Road MENTONE 3194 VIC,"(-37.989282, 145.068077)"
Camp Australia - St Margarets Berwick OSHC,Private for profit,3806,BERWICK,opsadmin@campaustralia.com.au,423793676,Exceeding NQS,27-47 Gloucester Avenue BERWICK 3806 VIC,"(-38.0356891, 145.347195)"
Kids on Campus Family Day Care,Private not for profit other organisations,3690,WODONGA,djohan@wodongatafe.edu.au,260556653,Meeting NQS,87 McKoy Street WODONGA 3690 VIC,"(-36.1107773, 146.85481)"
After The Bell Aus-Melbourne Girls Grammar School Junior Campus OSHC,Private for profit,3141,SOUTH YARRA,veronique@afterthebell.com.au,397586744,Meeting NQS,100 Caroline Street SOUTH YARRA 3141 VIC,"(-37.8355242, 144.9888509)"
Camp Australia - Albert Park Primary School OSHC,Private for profit,3206,ALBERT PARK,opsadmin@campaustralia.com.au,452247708,Working Towards NQS,Bridport Street ALBERT PARK 3206 VIC,"(-37.8398484, 144.9585002)"
Camp Australia - Toorak College OSHC,Private for profit,3930,MOUNT ELIZA,opsadmin@campaustralia.com.au,397887352,Exceeding NQS,Williams Road MOUNT ELIZA 3930 VIC,"(-38.1725835, 145.0899606)"
Camp Australia - Geelong Grammar School Toorak Campus OSHC,Private for profit,3142,TOORAK,opsadmin@campaustralia.com.au,402047543,Meeting NQS,14 Douglas Street TOORAK 3142 VIC,"(-37.8398793, 145.0085798)"
Camp Australia - Narre Warren North Primary School OSHC,Private for profit,3804,NARRE WARREN NORTH,opsadmin@campaustralia.com.au,1300105343,Meeting NQS,A'Beckett Road NARRE WARREN NORTH 3804 VIC,"(-37.9803824, 145.3340351)"
Camp Australia - Brentwood Park Primary School OSHC,Private for profit,3806,BERWICK,opsadmin@campaustralia.com.au,421640326,Meeting NQS,Bemersyde Drive BERWICK 3806 VIC,"(-38.0548733, 145.3473399)"
Camp Australia - St Kevin's Hampton Park OSHC,Private for profit,3976,HAMPTON PARK,opsadmin@campaustralia.com.au,429137414,Meeting NQS,120 Hallam Road HAMPTON PARK 3976 VIC,"(-38.0390022, 145.2677056)"
Camp Australia - St Mark's Primary School OSHC,Private for profit,3172,DINGLEY VILLAGE,opsadmin@campaustralia.com.au,423793677,Meeting NQS,4-6 Dimar Street DINGLEY VILLAGE 3172 VIC,"(-37.9864931, 145.1297695)"
Maramba PS TheirCare,Private for profit,3805,NARRE WARREN,maramba@theircare.com.au,477006282,Meeting NQS,Maramba Drive NARRE WARREN 3805 VIC,"(-38.00252710000001, 145.3039811)"
Galilee Regional CPS TheirCare,Private for profit,3205,SOUTH MELBOURNE,galilee@theircare.com.au,1300105343,Meeting NQS,Cnr Montague St & Bank St SOUTH MELBOURNE 3205 VIC,"(None, None)"
Greater Dandenong Family Day Care Scheme,State/Territory and Local Government managed,3175,DANDENONG,lani.johaan@cgd.vic.gov.au,385711805,Meeting NQS,39 Clow Street DANDENONG 3175 VIC,"(-37.9847027, 145.2168153)"
Camp Australia - Loreto College Mandeville Hall OSHC,Private for profit,3142,TOORAK,opsadmin@campaustralia.com.au,402273596,Meeting NQS,10 Mandeville Crescent TOORAK 3142 VIC,"(-37.8481621, 145.0150227)"
Camp Australia - Beaumaris Primary School OSHC,Private for profit,3193,BEAUMARIS,opsadmin@campaustralia.com.au,452247837,Meeting NQS,77-79 Dalgetty Road BEAUMARIS 3193 VIC,"(-37.9860273, 145.0374736)"
Malvern Valley Primary School OSHC,State/Territory government schools,3145,MALVERN EAST,prendergast.kerry.r@edumail.vic.gov.au,0434 637 943,Working Towards NQS,1A Abbotsford Ave MALVERN EAST 3145 VIC,"(-37.8805408, 145.0818589)"
City Of Greater Geelong Family Day Care Service,State/Territory and Local Government managed,3220,NEWTOWN,cthompson@geelongcity.vic.gov.au,352724741,Exceeding NQS,245-249 Pakington Street NEWTOWN 3220 VIC,"(-38.1475164, 144.3467752)"
TeamKids - Caulfield South Primary,Private for profit,3162,CAULFIELD,info@teamkids.com.au,1300035000,Meeting NQS,Bundeera Road CAULFIELD 3162 VIC,"(-37.8953012, 145.0318583)"
Camp Australia - Red Hill Consolidated School OSHC,Private for profit,3937,RED HILL,opsadmin@campaustralia.com.au,426639180,Meeting NQS,Mornington-Flinders Road RED HILL 3937 VIC,"(-38.3877117, 144.9929439)"
Camp Australia - Dromana Primary School OSHC,Private for profit,3936,DROMANA,opsadmin@campaustralia.com.au,426659036,Meeting NQS,McCulloch Street DROMANA 3936 VIC,"(-38.3373284, 144.9608772)"
Camp Australia - Kunyung Primary School OSHC,Private for profit,3930,MOUNT ELIZA,opsadmin@campaustralia.com.au,424594539,Meeting NQS,Kunyung Road MOUNT ELIZA 3930 VIC,"(-38.1912818, 145.0789201)"
Camp Australia - Gardenvale Primary School OSHC,Private for profit,3187,BRIGHTON EAST,Opsadmin@campaustralia.com.au,452247820,Meeting NQS,66 Landcox Street BRIGHTON EAST 3187 VIC,"(-37.902578, 145.015392)"
Camp Australia - Woodleigh School Penbank Campus OSHC,Private for profit,3933,MOOROODUC,opsadmin@campaustralia.com.au,401006063,Meeting NQS,Mornington-Tyabb Road MOOROODUC 3933 VIC,"(-38.2508146, 145.114291)"
